"question","answer"
"简述我国人群高血压的重要危险因素（至少列出6项）。","①高钠、低钾膳食；②超重和肥胖；③增龄；④吸烟；⑤过量饮酒；⑥心理社会因素；⑦空气污染；⑧肿瘤治疗；⑨高海拔；⑩缺乏体力活动、高血压家族史等。（依据：指南1.3节）"
"高血压患者诊断性评估包括哪些内容？","①确立高血压诊断，确定血压水平分级；②判断高血压的原因，区分原发性或继发性高血压；③寻找其他心脑血管疾病危险因素，评估靶器官损害，确定相关临床情况。（依据：指南第4章）"
"根据指南，如何确定高血压患者启动降压药物治疗的时机？","启动时机主要取决于心血管风险，而非仅依据血压水平。①血压≥160/100 mmHg者立即启动；②血压140-159/90-99 mmHg，心血管风险中危及以上者立即启动，低危者可改善生活方式4-12周，如血压仍不达标则启动；③血压130-139/85-89 mmHg（正常高值），心血管风险高危/很高危者立即启动，低中危者继续生活方式干预。（依据：要点5B）"
"不同人群的诊室血压控制目标分别是多少？","①一般高血压患者：推荐降至<140/90 mmHg，如能耐受应进一步降至<130/80 mmHg；②高危/很高危患者及有合并症者：推荐<130/80 mmHg；③65-79岁老年人：<140/90 mmHg，如能耐受可降至<130/80 mmHg；④80岁及以上高龄老人：<150/90 mmHg，如能耐受可降至<140/90 mmHg。（依据：要点5C）"
"降压治疗中，生活方式干预主要包括哪些方面？请简要说明。","①减少钠盐摄入，增加钾摄入（限盐<5g/d，推荐低钠富钾盐）；②合理膳食（DASH饮食、CHH饮食）；③控制体重（减重5%-15%，BMI 18.5-23.9）；④不吸烟；⑤限制饮酒（不饮酒最佳）；⑥运动干预（有氧+抗阻）；⑦减轻精神压力；⑧保持健康睡眠。（依据：要点5D及5.2.1节）"
"常用降压药有哪些类别？请各举一例。","①二氢吡啶类CCB（如氨氯地平）；②ACEI（如培哚普利）；③ARB（如氯沙坦）；④噻嗪类利尿剂（如氢氯噻嗪）；⑤β受体阻滞剂（如美托洛尔）；⑥ARNI（如沙库巴曲缬沙坦）。（依据：5.2.2.3节）"
"简述血管紧张素转换酶抑制剂（ACEI）和血管紧张素II受体阻滞剂（ARB）的适应证和禁忌证。","ACEI适应证：心力衰竭、冠心病、左心室肥厚、糖尿病肾病、蛋白尿等。禁忌证：妊娠、高钾血症、双侧肾动脉重度狭窄。ARB适应证：糖尿病肾病、蛋白尿、冠心病、心力衰竭、ACEI引起咳嗽者等。禁忌证：妊娠、高钾血症、双侧肾动脉重度狭窄。（依据：表17）"
"什么情况下应考虑起始联合降压治疗？请列举两种优化的联合治疗方案。","起始联合指征：①血压≥160/100 mmHg；②高于目标血压20/10 mmHg的高危患者；③单药治疗未达标；④对血压≥140/90 mmHg者也可起始小剂量联合。优化联合方案举例：①二氢吡啶类CCB+ARB/ACEI；②ARB/ACEI+噻嗪类利尿剂。（依据：5.2.2.4节）"
"什么是白大衣性高血压？其诊断依据和处理原则是什么？","定义：诊室血压升高（≥140/90 mmHg）而诊室外血压正常。诊断：诊室血压升高，同时满足24h动态血压<130/80 mmHg（白天<135/85，夜间<120/70）或家庭血压<135/85 mmHg。处理：未治疗者积极生活方式干预，预防持续性高血压；已治疗者无需强化降压。（依据：要点6A及6.1节）"
"什么是隐蔽性高血压？可分为哪些类型？其临床意义和处理原则是什么？","定义：诊室血压正常而诊室外血压升高。类型（基于动态血压）：单纯白天高血压、单纯夜间高血压、日夜高血压。临床意义：与靶器官损害和不良预后密切相关，风险接近持续性高血压。处理：在改善生活方式基础上，考虑启动或强化降压药物治疗。（依据：要点6B及6.2节）"
"什么是清晨高血压和夜间高血压？如何评估？它们与心血管风险的关系如何？","清晨高血压：清晨血压≥135/85 mmHg，可通过家庭或动态血压评估，是心血管风险的强预测因子。夜间高血压：动态血压夜间平均≥120/70 mmHg，需通过动态血压评估，预测能力甚至强于白天血压。（依据：要点6C、6D）"
"老年高血压的临床特点有哪些？在治疗策略上有哪些需要特别注意的地方？","特点：收缩压增高、脉压增大；血压波动大；昼夜节律异常；常合并多种疾病和老年综合征。注意：综合评估（包括衰弱）；从小剂量开始，缓慢降压；监测体位血压；优选长效药物；关注多重用药；ISH伴低舒张压时谨慎处理。（依据：7.1节）"
"简述单纯收缩期高血压（ISH）的定义、临床特点和治疗原则，尤其注意舒张压过低时的处理。","定义：收缩压≥140 mmHg且舒张压<90 mmHg。特点：多见于老年人，脉压增大。治疗：目标收缩压140-150 mmHg，如耐受可至130-140 mmHg；药物首选CCB/利尿剂；舒张压<70 mmHg时，仍以收缩压达标为主要目标，但需缓慢、谨慎，避免过度降低。（依据：要点6E及6.5节）"
"难治性高血压的定义是什么？在管理难治性高血压时，应考虑和排查哪些问题？","定义：在改善生活方式基础上，应用足量且合理的3种降压药（含利尿剂）治疗超过1月，血压仍不达标；或需≥4种药才能控制。排查要点：①判断真性难治（排除假性难治如依从性差、白大衣效应）；②寻找可纠正原因（高盐、肥胖、饮酒、干扰药物）；③筛查继发性高血压（原醛、肾动脉狭窄、OSAS等）；④优化药物治疗（含利尿剂、加用螺内酯等）；⑤考虑RDN。（依据：9.1及9.2节）"
