question,answer
我国人群高血压患病率持续增高，近年来中青年人群及农村地区高血压患病率上升趋势更明显。,正确
2018年我国年龄≥18岁成人高血压加权患病率为27.5%，知晓率、治疗率和控制率分别为51.6%、45.8%和16.8%。,正确
高钠、低钾膳食是我国人群高血压重要的危险因素之一，中国成年人约1/3对钠敏感。,正确
体重指数每增加5kg/m²，发生高血压的风险增加49%。,正确
吸烟是心血管疾病的独立危险因素，二手烟暴露同样增加冠心病、脑卒中等心血管风险。,正确
任何类型的酒精对人体都无益处，使健康损失最小化的饮酒量为零。建议高血压患者不应饮酒。,正确
高血压患者伴发精神心理问题的风险为非高血压患者的2.69倍，焦虑障碍患者发生高血压的风险也增加。,正确
空气污染（包括室外和室内空气污染）可导致高血压危险增加。,正确
肿瘤治疗（如酪氨酸激酶抑制剂、抗血管内皮生长因子靶向治疗）是高血压的独立危险因素。,正确
长期生活在海拔超过750m的高原地区，随着居住海拔升高，平均血压逐渐升高。,正确
诊室血压水平与脑卒中、冠心病事件、心血管疾病死亡的风险呈连续、独立、直接的正相关关系。,正确
24小时动态血压和夜间血压与心脑血管疾病风险的关联甚至比诊室血压更密切。,正确
脑卒中仍是我国高血压人群最主要的并发症和首位死亡原因，预防脑卒中是我国高血压防控的重要目标。,正确
首诊时应测量两侧上臂血压，以血压读数较高的一侧作为后续测量血压的上臂。,正确
测量血压推荐使用经过准确性验证的上臂式电子血压计，不建议使用水银血压计。,正确
动态血压监测可评估血压昼夜节律，诊断单纯夜间高血压、清晨高血压等临床表型。,正确
家庭血压监测可用于发现白大衣性高血压或隐蔽性高血压。,正确
可穿戴式电子血压计同样需要根据国际标准方案进行准确性验证，只有通过验证的才能用于血压测量。,正确
四肢血压测量计算踝臂血压指数（ABI）或两侧肢体血压差值，可用于诊断外周动脉疾病。,正确
高血压诊断性评估的内容包括：确立诊断与分级、判断高血压原因（原发/继发）、评估靶器官损害和临床并发症。,正确
对所有高血压患者应常规进行眼底镜检查以评估靶器官损害。,错误
颈-股动脉脉搏波传导速度（cfPWV）≥10 m/s可作为评估大动脉僵硬度、提示靶器官损害的指标。,正确
基于诊室血压，高血压分为1级、2级和3级。指南保留了3级高血压的分类。,正确
基于家庭血压诊断高血压的标准是：连续5~7天规范化测量，所有读数平均值≥135/85 mmHg。,正确
基于动态血压诊断高血压的标准中，夜间平均血压≥120/70 mmHg可作为诊断依据之一。,正确
在影响高血压患者心血管预后的重要因素中，2024年版指南新增了'心率增快（静息>80次/分）'和'高尿酸血症'。,正确
所有高血压患者一经诊断，应立即启动降压药物治疗。,错误
诊室血压水平≥160/100 mmHg（2级或3级高血压）的患者，应立即启动降压药物治疗。,正确
无合并症的一般高血压患者，推荐诊室血压降至<140/90 mmHg；如能耐受，可进一步降至<130/80 mmHg。,正确
80岁及以上高龄老年人，降压目标为<150/90 mmHg；如能耐受，可进一步降至<140/90 mmHg。,正确
