question,answer
2018年我国年龄≥18岁成人高血压加权患病率为27.5%，其中男性高于女性，北方高于南方。,正确
1991—2015年间，20～39岁人群高血压患病率升高幅度超过60～79岁人群。,正确
2012—2015年全国调查显示，农村地区高血压标化患病率首次超过城市。,正确
中国成年人约1/3对钠敏感。,正确
体重指数每增加5 kg/m²，高血压风险增加49%。,正确
2015—2017年我国居民平均每日烹调盐摄入量为9.3 g，符合<5 g标准者仅占23.3%。,正确
我国高血压患者中，3级高血压占比超过8%，是保留3级分级的主要原因之一。,正确
诊室血压每升高20/10 mmHg，心脑血管疾病风险倍增。,正确
24小时动态血压每增加20 mmHg，心血管事件风险增加45%。,正确
单纯收缩期高血压（ISH）在老年人群中更常见，但在青少年中也存在。,正确
血压变异性（BPV）升高可独立于平均血压预测心血管结局。,正确
血压目标范围内时间（TTR）较高的高血压患者，心血管风险较低。,正确
一般高血压患者推荐在4周内将血压降至目标水平，年轻、病程短者可稍快。,正确
高血压合并冠心病患者，若同时有冠状动脉严重狭窄，降压应缓慢、谨慎。,正确
沙库巴曲缬沙坦（ARNI）不能与ACEI联用，从ACEI转换时需停药至少36小时。,正确
螺内酯作为盐皮质激素受体拮抗剂，可用于难治性高血压，但可能引起男性乳房发育。,正确
非奈利酮（finerenone）是一种非甾体类MRA，对糖尿病合并CKD患者具有心肾保护作用。,正确
根据2024年指南，使用阿司匹林进行一级预防时，年龄＞70岁者不建议常规使用。,正确
高血压患者心率增快定义为诊室静息心率＞80次/分，首选β受体阻滞剂控制心率。,正确
白大衣性高血压患者，若已接受降压治疗，无需强化降压，但未治疗者应积极生活方式干预。,正确
夜间血压控制目标为<120/70 mmHg。,正确
具有子痫前期高危因素的孕妇，推荐从妊娠12～16周开始服用小剂量阿司匹林（75～150 mg/d）直至分娩前。,正确
妊娠期高血压疾病患者产后10年发生高血压的风险是非HDP孕妇的2.4倍。,正确
脑卒中急性期，缺血性卒中准备溶栓者血压需控制在<180/100 mmHg。,正确
高血压合并稳定性心绞痛患者，β受体阻滞剂和RAS抑制剂均可作为首选。,正确
高血压合并心肌梗死后患者，若无禁忌，应早期并长期使用β受体阻滞剂和RAS抑制剂。,正确
高血压合并HFrEF患者，若血压偏低，仍不应妨碍指南指导的药物治疗滴定，除非不耐受。,正确
对于有蛋白尿的CKD患者，血压控制目标为<130/80 mmHg，且初始降压应包含ACEI或ARB。,正确
高血压合并糖尿病患者，血糖控制目标为HbA1c<7%，但老年或易低血糖者可放宽。,正确
高血压合并代谢综合征的患者，首选ACEI或ARB。,正确
高血压合并COPD患者，可以使用选择性β1受体阻滞剂，但应避免非选择性β受体阻滞剂。,正确
围手术期高血压管理中，术前服用ACEI/ARB者，手术当日应暂停。,正确
难治性高血压的定义要求同时满足诊室血压和诊室外血压均未达标。,正确
阻塞性睡眠呼吸暂停综合征（OSAS）在难治性高血压中的患病率高达70%～90%。,正确
原发性醛固酮增多症中，低钾血症发生率约为37%，不是诊断的必要条件。,正确
主动脉缩窄的典型临床特征是上肢血压升高，下肢血压降低，ABI<0.9。,正确
高血压急症与亚急症的根本区别在于有无急性进行性靶器官损害。,正确
高血压亚急症可在24～48小时内将血压缓慢降至160/100 mmHg。,正确
社区高血压管理中，对35岁及以上常住居民每年免费测量1次血压。,正确
《健康中国2030》要求到2030年，30岁及以上居民高血压知晓率不低于65%。,正确
WHO-HEARTS技术工具包适用于资源稀缺地区的高血压防治。,正确
五月血压测量月（MMM）项目显示，通过筛查可提高高血压知晓率、治疗率和控制率。,正确
我国高血压患者中，中青年人群“三率”显著低于老年人群。,正确
